Wall time,Step,Value
1615316202.4043698,4817022,701.4143676757812
1615316208.2903907,4821592,137.09820556640625
1615316215.8763537,4827664,170.52944946289062
1615316244.9999337,4852253,196.6957244873047
1615316246.9418964,4853808,143.82843017578125
1615316246.9441693,4853819,192.90902709960938
1615316264.4281044,4869144,305.3259582519531
1615316275.7083583,4878409,-700.080810546875
1615316280.9355695,4882954,228.42872619628906
1615316295.4639783,4895299,139.72898864746094
1615316300.6101677,4899873,-693.6791381835938
1615316302.4135442,4901492,214.21893310546875
1615316304.026467,4903035,482.3978576660156
1615316316.5125535,4913790,353.4729919433594
1615316334.9600005,4929141,140.55487060546875
1615316342.4900134,4935196,228.67434692382812
1615316348.250977,4939863,341.0818176269531
1615316353.6473658,4944474,-787.9490966796875
1615316360.913596,4950591,123.40194702148438
1615316371.7217124,4959788,177.76991271972656
1615316373.735481,4961294,214.05474853515625
1615316387.7990263,4973677,87.38164520263672
1615316402.0238094,4985873,168.01051330566406
1615316409.1149838,4992000,-873.3040771484375
1615316410.7621295,4993610,107.41942596435547
1615316428.7961612,5009013,-390.4429931640625
1615316430.639036,5010535,-912.2520751953125
1615316439.5646129,5018212,149.10317993164062
1615316451.8238904,5028890,238.04441833496094
1615316466.5892832,5041247,104.36998748779297
1615316468.254769,5042718,156.38925170898438
1615316468.2549915,5042793,-123.98188018798828
1615316475.6982946,5048840,189.12765502929688
1615316479.2577229,5051948,-339.16680908203125
1615316482.645861,5055092,-122.06553649902344
1615316491.352967,5062665,-972.2368774414062
1615316498.7934756,5068926,179.4327392578125
1615316518.6292007,5085805,183.74844360351562
1615316536.167188,5099607,269.16619873046875
1615316545.2701216,5107326,217.427978515625
1615316554.5026808,5114951,256.85858154296875
1615316562.1047125,5121025,234.4529571533203
1615316571.1058953,5128717,163.37892150878906
1615316571.1079009,5128806,187.2373809814453
1615316573.0566416,5130257,300.46002197265625
1615316582.0443218,5137996,258.2144470214844
1615316585.9489493,5141010,152.09677124023438
1615316587.972046,5142540,299.4775390625
1615316591.5582094,5145714,-712.1053466796875
1615316595.3185112,5148797,290.9969177246094
1615316597.1328952,5150219,151.3039093017578
1615316602.8056993,5154892,246.9770965576172
1615316602.8063014,5154866,203.41676330566406
1615316602.806911,5154869,644.566162109375
1615316604.4145236,5156452,257.59234619140625
1615316607.9929366,5159442,139.2408447265625
1615316616.8803012,5167200,237.31802368164062
1615316620.6631112,5170285,227.20555114746094
1615316624.0433109,5173289,134.1502685546875
1615316629.212733,5177897,170.6085968017578
1615316630.8632498,5179476,90.55360412597656
1615316632.6174476,5181003,161.2731475830078
1615316634.3474119,5182470,172.7601318359375
1615316647.856668,5193241,152.2490997314453
1615316649.5680373,5194841,36.513999938964844
1615316651.4475214,5196395,254.21031188964844
1615316658.8181875,5202515,-1088.607177734375
1615316662.3601701,5205603,-787.3483276367188
1615316662.3609326,5205579,160.2195281982422
1615316666.264197,5208582,236.60479736328125
1615316667.9790137,5210134,182.41001892089844
1615316669.7358675,5211658,278.7259826660156
1615316671.6672075,5213288,143.3135223388672
1615316671.6678624,5213257,273.60052490234375
1615316679.0525765,5219455,206.28285217285156
1615316680.623636,5220911,315.5297546386719
1615316682.3432224,5222526,281.1789245605469
1615316685.5169678,5225506,138.6675262451172
1615316688.9962935,5228560,236.64828491210938
1615316697.91278,5236260,333.99755859375
1615316699.745073,5237839,192.1068572998047
1615316701.7005694,5239408,177.82455444335938
1615316716.5929883,5251637,235.53323364257812
1615316716.5931246,5251647,303.0404357910156
1615316718.5315723,5253214,357.60491943359375
1615316725.4555397,5259359,159.39881896972656
1615316734.2211173,5267070,145.25799560546875
1615316763.4573612,5291526,229.383544921875
1615316765.3471913,5293087,258.85772705078125
1615316769.183959,5296154,137.32769775390625
1615316770.926757,5297698,53.07079315185547
1615316772.561335,5299257,275.2843322753906
1615316779.8456426,5305429,222.86988830566406
1615316788.8154473,5313114,211.2257080078125
1615316790.6273937,5314617,311.4154357910156
1615316792.5330293,5316195,212.29446411132812
1615316792.534226,5316109,98.22240447998047
1615316803.9504778,5325327,283.55462646484375
1615316811.3825946,5331505,204.38327026367188
1615316815.0954578,5334606,782.6856079101562
1615316828.3334875,5345304,256.38427734375
1615316835.9153488,5351511,236.79617309570312
1615316841.2452464,5356072,232.88217163085938
1615316848.4454076,5362219,427.3354187011719
1615316852.2572534,5365310,180.4927978515625
1615316863.6176887,5374495,198.85592651367188
1615316863.6180506,5374465,152.3549041748047
1615316874.437145,5383802,258.53338623046875
1615316876.146911,5385227,177.440673828125
1615316900.6730862,5406788,156.2885284423828
1615316900.6733844,5406724,236.549560546875
1615316923.949201,5426704,-895.5305786132812
1615316927.5604439,5429806,-46.929656982421875
1615316938.8267899,5439059,93.65091705322266
1615316938.8270822,5439050,352.9049377441406
1615316957.0339959,5454421,224.98114013671875
1615316972.9747305,5468184,335.539306640625
1615316974.9267008,5469782,121.9718246459961
1615316983.6645088,5477407,208.80506896972656
1615316994.6444952,5486686,379.9766540527344
1615316999.8229558,5491211,112.10304260253906
1615317010.8012502,5500469,200.41171264648438
1615317024.862521,5512785,209.4802703857422
1615317035.5392873,5521999,371.8310546875
1615317042.0166628,5528143,227.0113067626953
1615317047.050827,5532688,151.81149291992188
1615317047.0517983,5532758,292.44049072265625
1615317055.3288972,5540414,-1605.6075439453125
1615317057.0716875,5541944,368.260009765625
1615317058.847941,5543442,217.46739196777344
1615317060.636019,5545018,121.82086944580078
1615317066.540716,5549646,41.729557037353516
1615317080.7596416,5561865,277.0818176269531
1615317086.3119216,5566588,281.8807373046875
1615317097.553407,5575696,255.64813232421875
1615317100.9885883,5578765,251.97210693359375
1615317118.5673995,5592642,302.3630065917969
1615317130.3111672,5601808,203.46368408203125
1615317132.0712621,5603358,266.8224792480469
1615317132.0718524,5603347,280.3791198730469
1615317139.7374978,5609537,246.07534790039062
1615317148.9495761,5617259,252.47415161132812
1615317171.126682,5635689,450.0967102050781
1615317171.1272664,5635652,433.5065612792969
1615317172.892469,5637206,767.6112670898438
1615317186.7044034,5649514,490.5875549316406
1615317192.5471218,5654038,399.6224670410156
1615317198.2514424,5658692,-738.8164672851562
1615317198.2520256,5658699,430.26617431640625
1615317199.911318,5660276,325.8624267578125
1615317205.643272,5664887,291.9434509277344
1615317207.6119184,5666310,260.6259765625
1615317213.4397056,5670954,107.13252258300781
1615317221.2125597,5677092,465.2284851074219
1615317221.2131178,5677108,198.91639709472656
1615317224.945507,5680207,148.4451141357422
1615317237.7090278,5690954,407.263427734375
1615317239.4134233,5692416,155.8307342529297
1615317243.1523733,5695489,298.623046875
1615317244.9788818,5697099,261.35882568359375
1615317248.576865,5700222,296.346435546875
1615317259.2150471,5709390,178.00791931152344
1615317261.1750913,5710970,297.76226806640625
1615317261.1758604,5710931,297.116943359375
1615317263.0231237,5712511,162.05621337890625
1615317277.9440992,5724799,343.7713317871094
1615317285.1442425,5730884,-1066.9801025390625
1615317292.4966247,5736991,251.45132446289062
1615317312.7510893,5753883,431.8663330078125
1615317314.7003858,5755490,258.8096618652344
1615317318.2064993,5758560,195.10333251953125
1615317327.4909532,5766146,208.21652221679688
1615317329.4731581,5767772,-819.3451538085938
1615317331.2739909,5769292,-1049.9210205078125
1615317334.9452147,5772341,214.72604370117188
1615317344.1344612,5780086,756.9210815429688
1615317349.9110274,5784651,480.6122131347656
1615317351.7351596,5786167,238.66355895996094
1615317351.7359843,5786121,-924.3287353515625
1615317351.7363687,5786169,-40.658199310302734
1615317374.36516,5804616,-277.57452392578125
1615317374.365563,5804647,254.37994384765625
1615317376.103391,5806201,281.7827453613281
1615317387.0832415,5815390,-1121.345703125
1615317388.6711407,5816884,148.64329528808594
1615317397.3023093,5824559,188.92103576660156
1615317402.7787995,5829201,160.5640106201172
1615317404.7401943,5830690,92.1318130493164
1615317404.740697,5830673,306.57275390625
1615317406.6612759,5832246,136.97669982910156
1615317417.7254138,5841429,367.6949768066406
1615317421.2322884,5844607,91.49017333984375
1615317425.4484692,5847593,17.448808670043945
1615317429.2040808,5850731,878.5944213867188
1615317429.2048628,5850699,516.329345703125
1615317434.6503165,5855293,-904.6151123046875
1615317440.082347,5859857,248.355712890625
1615317443.7115183,5863025,291.2112731933594
1615317447.0461626,5866099,323.9221496582031
1615317460.0634015,5876765,139.6998291015625
1615317460.064027,5876821,194.15830993652344
1615317464.9690433,5881407,168.32936096191406
1615317470.5648026,5886069,142.12364196777344
1615317480.7851846,5895251,261.068359375
1615317486.420835,5899796,271.2274169921875
1615317486.4213593,5899845,334.4512023925781
1615317491.8347385,5904414,140.64315795898438
1615317491.8349018,5904472,640.4506225585938
1615317491.8351688,5904454,-74.02494812011719
1615317493.7141771,5906043,277.28070068359375
1615317495.6405506,5907579,242.91514587402344
1615317515.4914396,5924455,271.5422668457031
1615317525.8880484,5933658,289.5990905761719
1615317525.888353,5933610,309.1554260253906
1615317531.144587,5938188,360.64373779296875
1615317531.145134,5938288,152.50836181640625
1615317540.7974164,5945921,328.4463195800781
1615317550.2199557,5953649,186.4931182861328
1615317552.311271,5955138,241.83497619628906
1615317552.3122818,5955098,224.55291748046875
1615317554.0196452,5956703,425.8061218261719
1615317561.7177894,5962771,340.2173156738281
1615317563.69771,5964313,-513.27392578125
1615317565.5723195,5965839,273.9450378417969
